city,status,population,area_km2
Sydney,passed,4219494.0,1410.9748536256589
Melbourne,passed,3509054.0,1464.109007495558
Brisbane,passed,1354895.0,658.317141692077
Perth,passed,1277294.0,659.1653647108403
Adelaide,passed,1073324.0,586.1168459100285
Hobart,filtered_out,74925.0,50.174558302607224
Darwin,filtered_out,40116.0,21.416055408094053
Canberra,passed,237389.0,125.2347296442164
