category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,10685,9801,298,2.79,298,298,100.0,1166.86,77.43,9
grocery,10685,9787,9,0.08,9,9,100.0,2628.24,77.43,1
healthcare,10685,9787,8,0.07,8,8,100.0,1954.01,77.43,2
libraries,10685,9787,0,0.0,0,0,0.0,3503.82,77.43,0
parks,10685,10168,2728,25.53,2728,2728,100.0,266.87,77.43,189
transit,10685,9788,8,0.07,8,8,100.0,6377.13,77.43,1
