category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,41316,37524,769,1.86,769,769,100.0,1101.88,58.68,11
grocery,41316,37485,44,0.11,44,44,100.0,1762.42,58.68,2
healthcare,41316,37487,99,0.24,99,99,100.0,1421.62,58.68,5
libraries,41316,37480,11,0.03,11,11,100.0,3039.28,58.68,1
parks,41316,38892,6307,15.27,6307,6307,100.0,437.23,58.68,1980
transit,41316,38180,1237,2.99,1237,1237,100.0,396.72,58.68,4
