category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,10337,9306,69,0.67,69,69,100.0,1870.69,94.18,5
grocery,10337,8930,11,0.11,11,11,100.0,2474.92,94.18,1
healthcare,10337,9230,23,0.22,23,23,100.0,2323.11,94.18,2
libraries,10337,8643,0,0.0,0,0,0.0,8284.39,94.18,0
parks,10337,9547,1496,14.47,1496,1496,100.0,765.19,94.18,259
transit,10337,9383,217,2.1,217,217,100.0,606.84,94.18,4
