category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,42989,41010,1001,2.33,1001,1001,100.0,826.71,41.38,11
grocery,42989,40921,73,0.17,73,73,100.0,1317.21,41.38,2
healthcare,42989,40920,120,0.28,120,120,100.0,1055.24,41.38,4
libraries,42989,40918,9,0.02,9,9,100.0,2534.28,41.38,1
parks,42989,41323,4196,9.76,4196,4196,100.0,413.91,41.38,83
transit,42989,41071,640,1.49,640,640,100.0,388.41,41.38,3
