category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,16864,16019,228,1.35,228,228,100.0,1427.77,58.36,11
grocery,16864,15993,14,0.08,14,14,100.0,2158.67,58.36,1
healthcare,16864,15993,31,0.18,31,31,100.0,1597.4,58.36,7
libraries,16864,15990,4,0.02,4,4,100.0,2387.5,58.36,1
parks,16864,16024,569,3.37,569,569,100.0,905.55,58.36,17
transit,16864,16017,306,1.81,306,306,100.0,521.88,58.36,4
