category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,8733,8283,185,2.12,185,185,100.0,1220.83,110.87,7
grocery,8733,8283,1,0.01,1,1,100.0,2943.12,110.87,1
healthcare,8733,8283,7,0.08,7,7,100.0,2249.1,110.87,1
libraries,8733,8284,0,0.0,0,0,0.0,4601.96,110.87,0
parks,8733,8352,1117,12.79,1117,1117,100.0,455.54,110.87,33
transit,8733,8285,1,0.01,1,1,100.0,7105.55,110.87,1
