category,hex_count,valid_hexes,zero_min_hexes,zero_min_pct,source_node_hexes,zero_min_and_source_hexes,zero_min_and_source_pct_of_zero,median_walk_m,median_snap_m,max_source_poi_count_on_node
education,24543,23573,397,1.62,397,397,100.0,986.58,45.51,10
grocery,24543,23551,44,0.18,44,44,100.0,1065.27,45.51,2
healthcare,24543,23556,93,0.38,93,93,100.0,1024.26,45.51,6
libraries,24543,23554,11,0.04,11,11,100.0,2211.76,45.51,1
parks,24543,23648,2041,8.32,2041,2041,100.0,450.05,45.51,37
transit,24543,23578,258,1.05,258,258,100.0,431.0,45.51,3
